74485 209542
41599 38626
50563 10138 297327
6526 26667 274565
36296 27122 252934
30586 28377 312868
29308 45640 222290
18200 43087 256896
41102 47908 266485
12178 43340 232953
5167 64177 282013
70266 55663 247908
49641 66979 267167
36255 18755 219648
63538 26900 218340
13567 20395 217043
38255 66172 213665
20859 21141 220676
64040 6936 278803
67855 69230 307092
29119 20687 310365
57413 9650 254599
19964 31130 237899
273 34522 213405
20124 40974 227520
33935 22896 277138
68823 47725 258118
36789 50673 255549
33692 69954 263728
58913 68552 303391
33365 42956 214966
1699 7087 211179
68589 14285 291205
11595 29166 258837
16341 69157 248775
73722 9962 253798
12761 1291 224087
16208 31464 268171
29214 24889 274078
59127 11596 272152
42425 49506 276895
49311 1214 249235
71933 1271 215364
11261 33748 281399
43723 56836 293782
55567 40170 280317
28243 23915 311494
70063 33198 220896
13660 62490 270813
65652 40336 245126
21315 59370 298594
44458 5944 304538
22814 73453 281383
1569 13533 266324
876 11392 274372
26186 61659 265016
23114 21395 277356
17321 3294 299521
37842 20288 290429
46700 12064 213802
58073 16893 293872
998 7178 299767
60909 34089 284135
44666 48706 298351
7626 45813 250069
65766 32388 280873
68883 3973 314012
29990 24667 266790
71607 10290 245366
1926 35553 281147
53960 74072 272785
42612 63207 264907
29802 51268 228472
5675 40434 230457
47086 72479 261879
24548 35563 256566
58059 24859 293636
13938 59885 215705
73768 7153 294063
53548 14952 280330
68426 36029 226854
59450 11513 307318
59543 49655 279046
12148 39676 298330
33166 26721 298150
36955 14769 307078
62450 63415 309212
7480 47021 280633
1302 20164 213782
61546 45301 252734
69307 13020 286570
36083 68131 256031
44017 39394 314274
72250 42417 227113
34827 16027 299740
28261 41040 282356
21407 8553 231267
54986 6224 212177
6350 72095 268940
74273 55135 255520
56740 42207 311648
15566 48456 264916
34249 5461 225752
47559 70602 223282
32381 51495 217820
70090 2694 238264
18575 24049 294171
9717 35221 295077
21924 55518 263222
64441 38342 299568
16398 25683 309897
40046 46482 232597
15219 27557 220645
70028 24126 280785
35193 22054 227975
19426 58755 306855
41711 48364 288035
49315 70482 228178
74265 61292 220277
20743 29509 308665
31668 69303 287718
15163 58395 255788
57142 35830 291666
59860 37992 225520
48664 1484 213705
29480 34989 283665
64628 67888 274889
43251 8875 236550
53999 30151 288572
2506 31303 230522
35164 25394 272203
54187 57099 304223
16665 73852 276238
51753 53747 222062
17918 10639 295803
22620 72677 256442
14940 57539 216000
4440 8863 244170
24692 22901 263535
10941 62655 251393
50492 19269 298758
24683 40495 295570
57924 18161 269983
29283 30759 296522
783 8928 239917
39526 23875 229507
39659 23315 297920
